key,value,timestamp,topic,partition,offset
b'BTC/EUR',"{""pair"": ""BTC/EUR"", ""price"": 96123.5, ""volume"": 0.26035266, ""timestamp"": ""2024-12-11T17:14:37.657847Z"", ""timestamp_ms"": 1733937277657}",1733937277703,trades,0,91867
b'BTC/EUR',"{""pair"": ""BTC/EUR"", ""price"": 96123.5, ""volume"": 0.00054104, ""timestamp"": ""2024-12-11T17:14:37.786741Z"", ""timestamp_ms"": 1733937277786}",1733937277772,trades,0,91868
b'BTC/USD',"{""pair"": ""BTC/USD"", ""price"": 100984.0, ""volume"": 0.00039376, ""timestamp"": ""2024-12-11T17:14:38.216136Z"", ""timestamp_ms"": 1733937278216}",1733937278203,trades,0,91869
b'BTC/USD',"{""pair"": ""BTC/USD"", ""price"": 100984.0, ""volume"": 0.001, ""timestamp"": ""2024-12-11T17:14:38.216136Z"", ""timestamp_ms"": 1733937278216}",1733937278204,trades,0,91870
b'BTC/USD',"{""pair"": ""BTC/USD"", ""price"": 100984.0, ""volume"": 0.06051888, ""timestamp"": ""2024-12-11T17:14:38.216136Z"", ""timestamp_ms"": 1733937278216}",1733937278204,trades,0,91871
b'BTC/USD',"{""pair"": ""BTC/USD"", ""price"": 100984.0, ""volume"": 0.14387344, ""timestamp"": ""2024-12-11T17:14:38.216136Z"", ""timestamp_ms"": 1733937278216}",1733937278204,trades,0,91872
b'BTC/EUR',"{""pair"": ""BTC/EUR"", ""price"": 96123.6, ""volume"": 0.00324721, ""timestamp"": ""2024-12-11T17:14:38.830289Z"", ""timestamp_ms"": 1733937278830}",1733937278817,trades,0,91873
b'ETH/EUR',"{""pair"": ""ETH/EUR"", ""price"": 3630.01, ""volume"": 0.14291952, ""timestamp"": ""2024-12-11T17:14:38.917269Z"", ""timestamp_ms"": 1733937278917}",1733937278905,trades,0,91874
b'ETH/EUR',"{""pair"": ""ETH/EUR"", ""price"": 3630.01, ""volume"": 0.00027141, ""timestamp"": ""2024-12-11T17:14:39.035074Z"", ""timestamp_ms"": 1733937279035}",1733937279022,trades,0,91875
b'ETH/USD',"{""pair"": ""ETH/USD"", ""price"": 3812.01, ""volume"": 1.69711881, ""timestamp"": ""2024-12-11T17:14:39.444260Z"", ""timestamp_ms"": 1733937279444}",1733937279441,trades,0,91876
b'BTC/USD',"{""pair"": ""BTC/USD"", ""price"": 100984.0, ""volume"": 0.00010179, ""timestamp"": ""2024-12-11T17:14:39.554038Z"", ""timestamp_ms"": 1733937279554}",1733937279543,trades,0,91877
b'BTC/EUR',"{""pair"": ""BTC/EUR"", ""price"": 96129.9, ""volume"": 0.00104026, ""timestamp"": ""2024-12-11T17:14:39.625970Z"", ""timestamp_ms"": 1733937279625}",1733937279615,trades,0,91878
b'ETH/EUR',"{""pair"": ""ETH/EUR"", ""price"": 3630.0, ""volume"": 0.083479, ""timestamp"": ""2024-12-11T17:14:41.241951Z"", ""timestamp_ms"": 1733937281241}",1733937281229,trades,0,91879
b'ETH/EUR',"{""pair"": ""ETH/EUR"", ""price"": 3630.0, ""volume"": 0.156161, ""timestamp"": ""2024-12-11T17:14:41.241951Z"", ""timestamp_ms"": 1733937281241}",1733937281230,trades,0,91880
b'BTC/EUR',"{""pair"": ""BTC/EUR"", ""price"": 96129.8, ""volume"": 0.26032691, ""timestamp"": ""2024-12-11T17:14:41.332395Z"", ""timestamp_ms"": 1733937281332}",1733937281320,trades,0,91881
b'BTC/EUR',"{""pair"": ""BTC/EUR"", ""price"": 96129.9, ""volume"": 0.00151509, ""timestamp"": ""2024-12-11T17:14:41.497451Z"", ""timestamp_ms"": 1733937281497}",1733937281482,trades,0,91882
